EnsemblID	gene_name	logFC	logCPM	PValue	FDR	F	gene_biotype	GroupA_AvgCPM	GroupB_AvgCPM	GroupA_stdv	GroupB_stdv	log10FDR	alias	mygene_name	summary
	ENSG00000258101	1.13605	-1.32293				lncRNA								
	DIO3OS	1.13605	-1.32293				lncRNA								
	CAP2P1	1.13605	-1.32293				transcribed_processed_pseudogene								
	ENSG00000259326	1.13605	-1.32293				lncRNA								
	TEDC2-AS1	1.13605	-1.32293				lncRNA								
	ENSG00000259999	1.13605	-1.32293				lncRNA								
	ENSG00000260035	1.13605	-1.32293				lncRNA								
	ENSG00000260367	1.13605	-1.32293				lncRNA								
	ENSG00000260500	1.13605	-1.32293				lncRNA								
	ENSG00000260954	1.13605	-1.32293				lncRNA								
	ENSG00000263756	1.13605	-1.32293				lncRNA								
	MIR5000	1.13605	-1.32293				miRNA								
	MIR4733HG	1.13605	-1.32293				lncRNA								
	ENSG00000267274	1.13605	-1.32293				lncRNA								
	ENSG00000268292	1.13605	-1.32293				lncRNA								
	ENSG00000268472	1.13605	-1.32293				lncRNA								
	ENSG00000269867	1.13605	-1.32293				lncRNA								
	ENSG00000269976	1.13605	-1.32293				lncRNA								
	ENSG00000269980	1.13605	-1.32293				lncRNA								
	ENSG00000271893	1.13605	-1.32293				lncRNA								
	ENSG00000272366	1.13605	-1.32293				lncRNA								
	ENSG00000272417	1.13605	-1.32293				lncRNA								
	WDR5-DT	1.13605	-1.32293				lncRNA								
	ENSG00000274737	1.13605	-1.32293				lncRNA								
	ENSG00000276101	1.13605	-1.32293				lncRNA								
	ENSG00000276965	1.13605	-1.32293				misc_RNA								
	ENSG00000277895	1.13605	-1.32293				lncRNA								
	ENSG00000279033	1.13605	-1.32293				TEC								
	ENSG00000279250	1.13605	-1.32293				TEC								
	ENSG00000279344	1.13605	-1.32293				TEC								
	ENSG00000279954	1.13605	-1.32293				lncRNA								
	ENSG00000280385	1.13605	-1.32293				TEC								
	ENSG00000281469	1.13605	-1.32293				TEC								
	CIST1	1.13605	-1.32293				protein_coding								
	TFAP2A-AS2	1.13605	-1.32293				lncRNA								
	ENSG00000286943	1.13605	-1.32293				lncRNA								
	ENSG00000287535	1.13605	-1.32293				lncRNA								
	ENSG00000287553	1.13605	-1.32293				lncRNA								
	ENSG00000287985	1.13605	-1.32293				lncRNA								
	ENSG00000289190	1.13605	-1.32293				lncRNA								
	ENSG00000289757	1.13605	-1.32293				lncRNA								
	ENSG00000289866	1.13605	-1.32293				lncRNA								
	ENSG00000289979	1.13605	-1.32293				lncRNA								
	ENSG00000290072	1.13605	-1.32293				lncRNA								
	ENSG00000294229	1.13605	-1.32293				lncRNA								
	ENSG00000294950	1.13605	-1.32293				lncRNA								
	ENSG00000294974	1.13605	-1.32293				lncRNA								
	ENSG00000295186	1.13605	-1.32293				lncRNA								
	ENSG00000295829	1.13605	-1.32293				lncRNA								
	ENSG00000295841	1.13605	-1.32293				lncRNA								
